date,open,high,low,close,volume
3/8/2002,76.2854,76.6234,75.7005,76.0319,19930100
3/11/2002,75.9669,76.6234,75.668,76.1944,15621800
3/12/2002,75.4535,76.2009,75.3495,76.1489,17153600
3/13/2002,75.798,75.876,75.1546,75.4145,17175300
3/14/2002,75.4145,75.668,75.1481,75.3105,11168100
3/15/2002,75.5829,76.2216,75.5373,76.0261,21220100
3/18/2002,76.3194,76.6192,75.6676,76.0391,17548900
3/19/2002,76.4497,76.7365,76.1369,76.5475,17912000
3/20/2002,75.9283,75.9805,75.0745,75.1071,17114500
3/21/2002,75.1462,75.5373,74.3772,75.1397,25846800
3/22/2002,75.2766,75.5634,74.7552,74.9768,15235400
3/25/2002,75.0094,75.1853,73.8427,74.0448,17499600
3/26/2002,73.9861,74.9637,73.9535,74.4749,19947600
3/27/2002,74.3185,74.9572,74.1425,74.6705,19020300
3/28/2002,74.9312,75.4526,74.6248,74.6379,17532900
4/1/2002,74.4489,75.0159,73.9731,74.6705,17711000
4/2/2002,74.2859,74.9181,74.1491,74.2599,15669500
4/3/2002,74.3055,74.4358,73.0998,73.7385,25658500
4/4/2002,73.3865,73.9079,73.1454,73.4321,23549000
4/5/2002,73.7711,74.0578,73.1128,73.4452,19404900
4/8/2002,72.5523,73.6668,72.4936,73.6016,16470100
4/9/2002,73.7645,73.7645,72.9499,73.0867,15122700
4/10/2002,73.0606,73.9992,73.0541,73.9144,17199300
4/11/2002,73.5755,73.6798,72.0179,72.0765,25453700
4/12/2002,72.3568,72.7674,71.7181,72.6175,14950600
4/15/2002,72.7478,72.9042,71.8223,72.0635,17394900
4/16/2002,72.7999,73.8558,72.7804,73.7776,15040900
4/17/2002,73.9014,74.0839,73.3865,73.6211,12920100
4/18/2002,73.582,73.947,72.4415,73.3018,25204800
4/19/2002,73.7776,73.8036,73.3605,73.569,10499200
4/22/2002,73.2431,73.2757,72.2394,72.3437,13922900
4/23/2002,72.4024,72.6566,71.8028,72.0309,16967000
4/24/2002,72.057,72.8716,71.3009,71.3075,18902700
4/25/2002,71.1771,71.5225,70.8578,71.3466,25451500
4/26/2002,71.5551,71.6985,69.9258,69.9909,19769800
4/29/2002,70.3429,70.5579,69.4956,69.6455,17724400
4/30/2002,69.7498,70.8056,69.5021,70.2973,19473500
5/1/2002,70.3689,71.2032,69.6064,71.1576,24575600
5/2/2002,71.1054,71.6333,70.2451,70.8838,15666800
5/3/2002,70.7795,70.8838,69.8671,70.1148,18185500
5/6/2002,70.1539,70.382,68.6353,68.7396,23630400
5/7/2002,69.1502,69.2936,68.3681,68.4984,21910000
5/8/2002,69.7693,71.2749,69.5999,71.0468,27917400
5/9/2002,70.8121,71.1054,70.1148,70.2256,18085600
5/10/2002,70.3689,70.4211,68.8243,68.9025,18958900
5/13/2002,69.2284,70.3559,68.9481,70.3038,14677700
5/14/2002,71.4443,71.9331,71.0402,71.8354,34201200
5/15/2002,71.3661,72.2851,71.2292,71.5551,29535300
5/16/2002,71.4965,72.0048,71.2553,71.9266,28092000
5/17/2002,72.1221,72.5067,71.7572,72.2786,27823700
5/20/2002,72.1091,72.1417,71.3596,71.4965,13833800
5/21/2002,71.7637,72.0048,70.5971,70.8447,16877200
5/22/2002,70.5319,71.1185,70.3885,71.0011,15844200
5/23/2002,71.2097,71.9266,70.7013,71.7572,13879800
5/24/2002,71.679,71.8223,70.7861,70.8382,11877000
5/28/2002,71.0728,71.125,70.03,70.4537,24236900
5/29/2002,70.1408,70.4015,69.8215,69.9323,14773300
5/30/2002,69.4435,70.0691,69.0198,69.7367,18217900
5/31/2002,69.9974,70.7535,69.639,69.8801,19826300
6/3/2002,69.7954,70.1278,67.8662,68.0227,26056300
6/4/2002,67.8793,68.5636,67.4882,68.1921,25856200
6/5/2002,68.4007,68.8699,68.0096,68.8308,19695900
6/6/2002,68.7852,68.8243,67.2275,67.4296,22998500
6/7/2002,66.3346,67.7294,66.2955,67.3514,24011600
6/10/2002,67.2862,68.0813,67.1428,67.6121,18759900
6/11/2002,67.8662,68.1335,66.3021,66.452,19990700
6/12/2002,66.289,67.0059,65.6829,66.856,31266000
6/13/2002,66.5627,67.1298,66.0479,66.1847,21043900
6/14/2002,65.3766,66.1913,64.1969,66.087,39267500
6/17/2002,66.4259,68.0031,66.3803,67.8597,17647200
6/18/2002,67.6121,68.4528,67.5404,68.4137,21628500
6/19/2002,67.4556,68.0618,66.6344,66.8169,21540700
6/20/2002,66.6475,67.1624,65.8002,65.9631,25691000
6/21/2002,65.7137,66.0145,64.5429,64.9353,31190700
6/24/2002,64.4971,65.8576,63.6076,65.2755,37169700
6/25/2002,65.6025,65.9884,63.7973,63.8104,33355000
6/26/2002,62.2668,64.1963,62.2602,63.915,37913600
6/27/2002,64.4252,65.0727,63.1628,65.0335,31616400
6/28/2002,64.9092,65.7333,64.6737,64.726,28184200
7/1/2002,64.8699,65.2755,63.3721,63.4637,20270200
7/2/2002,63.3525,63.5749,61.9855,62.1163,34213900
7/3/2002,61.8874,62.6854,61.2988,62.4695,30565800
7/5/2002,63.3002,65.0989,63.2217,64.955,19013500
7/8/2002,64.7391,65.21,63.8104,64.1439,19118600
7/9/2002,63.9215,64.3205,62.1425,62.5284,28620400
7/10/2002,62.79,62.8358,60.1999,60.2523,50522500
7/11/2002,60.0168,61.0567,59.0749,60.7428,59476500
7/12/2002,61.0437,61.4099,59.8598,60.0757,39018600
7/15/2002,59.9383,60.4354,57.4856,60.3961,77317200
7/16/2002,59.5982,60.4223,58.7806,59.2319,53282400
7/17/2002,60.4746,61.024,58.7021,59.3496,48880600
7/18/2002,59.3235,59.5851,57.394,57.4267,32656700
7/19/2002,56.7465,57.2632,55.1375,55.4056,77572600
7/22/2002,55.0067,56.1905,53.2734,53.7639,78134000
7/23/2002,53.9929,54.4442,52.1615,52.2923,74484100
7/24/2002,51.1019,55.6738,50.8076,55.4122,107022800
7/25/2002,55.1179,56.1513,53.3715,54.9413,87176600
7/26/2002,55.3664,56.2036,54.8105,55.9878,41206800
7/29/2002,57.2305,59.088,57.0997,58.7152,53492900
7/30/2002,58.4209,59.7813,58.0284,59.4805,47532200
7/31/2002,59.1861,59.8794,58.3751,59.6244,44669900
8/1/2002,59.4412,59.7486,57.7734,58.0677,66571900
8/2/2002,57.8845,58.1527,56.0008,56.7661,51772900
8/5/2002,56.5699,56.8577,54.6469,54.7908,47191300
8/6/2002,55.7458,57.4921,55.6673,56.6353,64730000
8/7/2002,57.4725,57.8845,56.099,57.6229,43289400
8/8/2002,57.8322,59.5851,57.4267,59.487,48339800
8/9/2002,58.931,60.1345,58.4405,59.7094,41879200
8/12/2002,58.8591,59.6963,58.5713,59.2712,25841700
8/13/2002,58.9638,59.9514,57.9827,58.192,49690500
8/14/2002,58.2247,60.5858,57.5706,60.3177,57423600
8/15/2002,60.7232,61.4753,60.3046,61.1549,45551500
8/16/2002,60.7101,61.5342,60.1738,60.9717,36517300
8/19/2002,61.1287,62.6265,60.8932,62.3976,33669900
8/20/2002,62.0182,62.3976,61.2333,61.737,30508300
8/21/2002,62.1752,62.6461,61.2006,62.6265,39628900
8/22/2002,62.4564,63.5422,62.1817,63.2348,38399800
8/23/2002,62.7966,62.8881,61.58,61.8743,33716400
8/26/2002,62.0771,62.5546,61.1549,62.306,33830100
8/27/2002,62.5938,62.9535,61.1549,61.5865,35335700
8/28/2002,61.011,61.1483,60.043,60.2392,38970600
8/29/2002,59.6963,60.8605,59.3954,60.2653,42965700
8/30/2002,59.9645,61.0829,59.7813,60.0299,30366700
9/3/2002,59.3431,59.5197,57.6556,57.7407,76586400
9/4/2002,57.9565,59.0292,57.5968,58.5648,51099500
9/5/2002,57.878,58.4928,57.2305,58.0677,67250900
9/6/2002,58.7021,59.2385,58.434,58.8656,38622200
9/9/2002,58.277,59.7486,58.0808,59.2973,33998400
9/10/2002,59.6113,60.0299,59.2319,59.9775,41416600
9/11/2002,60.4812,61.0437,59.5851,59.6047,27711200
9/12/2002,59.3562,59.415,58.205,58.5059,43601700
9/13/2002,58.0088,58.8002,57.721,58.6498,41131000
9/16/2002,58.4143,58.7937,57.8584,58.7937,28167600
9/17/2002,59.4478,59.644,57.394,57.4463,47609700
9/18/2002,56.91,57.8845,56.4325,56.8707,54719400
9/19/2002,56.2428,56.7726,55.3991,55.3991,48510500
9/20/2002,55.7919,55.9759,55.2203,55.4174,46325600
9/23/2002,54.9575,55.2269,54.3268,54.9641,46893800
9/24/2002,54.1626,54.9575,53.7749,54.0772,69507000
9/25/2002,54.7736,55.6934,53.8998,55.4174,59294400
9/26/2002,55.8576,56.4818,55.4831,56.3241,53638000
9/27/2002,55.8445,56.2584,54.3662,54.3662,64648300
9/30/2002,53.8735,54.3991,53.1508,53.7355,73096400
10/1/2002,54.156,56.3504,53.5253,56.3175,67198100
10/2/2002,55.6408,56.1927,54.2677,54.629,56749100
10/3/2002,54.6225,55.5817,53.8406,54.0772,55547000
10/4/2002,54.3991,54.4779,52.2836,53.0851,68483700
10/7/2002,52.5989,53.3479,51.6069,51.9879,53188000
10/8/2002,52.4347,53.4202,51.3769,52.8026,79531000
10/9/2002,51.9616,52.3624,51.101,51.3112,79956400
10/10/2002,51.2061,53.2625,50.6345,52.9734,76749000
10/11/2002,53.9392,55.6671,53.7552,55.2926,82308300
